OBJECTID,Join_Count,TARGET_FID,Type,County,Name,email,phone,WebSite,County_Dir,district,Address1,Address2,City,Zip,addresses,origAddres,X,Y,address,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME_1,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
173,1,172,DFCS,Bleckley,GA DFCS Office-Bleckley County,rebecca.powell@dhs.ga.gov,478-934-3196,,Rebecca Powell,,,,,,"140 E Peacock Street, Cochran GA 31014",,-83.3509912,32.3810796,"140 peacock st, cochran, ga 31014, usa",13,23,347451,13023,Bleckley,Bleckley County,6,H1,G4020,,,,A,559100207,8447351,32.4354034,-83.3317174
174,1,173,DFCS,Brantley,GA DFCS Office-Brantley County,traci.carter@dhs.ga.gov,912-462-8074,,Traci Carter,,,,,,"510 Bryan Street, Nahunta GA 31553",,-81.9798755,31.1975719,"510 bryan st, nahunta, ga 31553, usa",13,25,351605,13025,Brantley,Brantley County,6,H1,G4020,,15260,,A,1145716325,12532560,31.1973339,-81.9829779
175,1,174,DFCS,Brooks,GA DFCS Office-Brooks County,Gail.Finley@dhs.ga.gov,229-263-7283,,Gail Finley,,,,,,"201 S Barnes Street, Quitman GA 31643",,-83.5695493,30.7834881,"201 s barnes st, quitman, ga 31643, usa",13,27,345518,13027,Brooks,Brooks County,6,H1,G4020,,46660,,A,1277108510,12188429,30.8229337,-83.5819054
176,1,175,DFCS,Bryan,GA DFCS Office-Bryan County,Dedra.Simich@dhs.ga.gov,912-653-2829,,Dedra Simich,,,,,,"133 West Dubois Street,  Pembroke GA  31321",,-81.6252529,32.1297778,"133 w dubois st, pembroke, ga 31321, usa",13,29,350496,13029,Bryan,Bryan County,6,H1,G4020,496,42340,,A,1129165098,47870064,32.0179692,-81.4385431
177,1,176,DFCS,Bulloch,GA DFCS Office-Bulloch County,diane.hardee@dhs.ga.gov,912-486-7024,,Diane Hardee,,,,,,"41 Pulaski Road, Statesboro GA 30458",,-81.8550519,32.4367568,"41 pulaski rd, statesboro, ga 30458, usa",13,31,350302,13031,Bulloch,Bulloch County,6,H1,G4020,,44340,,A,1742659416,40872090,32.3934083,-81.7438099
178,1,177,DFCS,Burke,GA DFCS Office-Burke County,Shadawn.Wright@dhs.ga.gov,706-437-6926,,Shadawn Wright,,,,,,"729 W. 6th Street, Waynesboro GA 30830",,-82.0298097,33.0860069,"729 w 6th st, waynesboro, ga 30830, usa",13,33,347944,13033,Burke,Burke County,6,H1,G4020,,12260,,A,2141836290,20758798,33.0508189,-82.0115709
179,1,178,DFCS,Butts,GA DFCS Office-Butts County,Holly.Line@dhs.ga.gov,770-504-2207,,Holly Line,,,,,,"178 Ernest Biles Drive, Jackson GA 30223",,-83.9514804,33.297331,"178 ernest biles dr, jackson, ga 30233, usa",13,35,352295,13035,Butts,Butts County,6,H1,G4020,122,12060,,A,477599409,9425065,33.2903551,-83.9582206
180,1,179,DFCS,Calhoun,GA DFCS Office-Calhoun County,jackie.bridges@dhs.ga.gov,229-849-0094,,Jackie Bridges,,,,,,"28293 Main St., Morgan GA 39866",,-84.6095079,31.5375143,"28293 w main st, morgan, ga 39866, usa",13,37,344074,13037,Calhoun,Calhoun County,6,H1,G4020,,,,A,726147297,8315728,31.521279,-84.6262895
181,1,180,DFCS,Camden,GA DFCS Office-Camden County,Laurie.Morton@dhs.ga.gov,912-729-2581,,Laurie Morton,,,,,,"721 Charles Gilman Jr. Ave., Kingsland GA 31548",,-81.6446879,30.7973053,"721 charles gilman jr ave, kingsland, ga 31548, usa",13,39,1671316,13039,Camden,Camden County,6,H1,G4020,,41220,,A,1588171685,436849688,30.9133473,-81.6420006
182,1,181,DFCS,Candler,GA DFCS Office-Candler County,rose.morris@dhs.ga.gov,912-739-6330,,"Rose Morris, Acting",,,,,,"750 S. Leroy Street, Metter GA 30439",,-82.0605746,32.3836016,"750 s leroy st, metter, ga 30439, usa",13,43,342852,13043,Candler,Candler County,6,H1,G4020,,,,A,629495388,15043723,32.4039971,-82.07131
183,1,182,DFCS,Carroll,GA DFCS Office-Carroll County,ElizabethLibby.Smith@dhs.ga.gov,770-830-2100,,"Elizabeth ""Libby"" Smith",,,,,,"165 Independence Dr., Carrollton GA 30116",,-85.044003,33.5688604,"165 independence dr, carrollton, ga 30116, usa",13,45,326650,13045,Carroll,Carroll County,6,H1,G4020,122,12060,,A,1292642959,12284897,33.5822366,-85.0805272
184,1,183,DFCS,Catoosa,GA DFCS Office-Catoosa County,jonathan.sloan@dhs.ga.gov,706-866-9387,,Jonathan Sloan,,,,,,"700 City Hall Dr., Fort Oglethorpe GA 30742",,-85.2463531,34.9505736,"700 city hall dr, fort oglethorpe, ga 30742, usa",13,47,353230,13047,Catoosa,Catoosa County,6,H1,G4020,174,16860,,A,419999394,771159,34.8993926,-85.1373531
185,1,184,DFCS,Charlton,GA DFCS Office-Charlton County,traci.carter@dhs.ga.gov,912-496-2127,,Traci Carter,,,,,,"32 Oakwood Street, Folkston GA 31537",,-82.0074674,30.8299084,"32 oakwood st, folkston, ga 31537, usa",13,49,357747,13049,Charlton,Charlton County,6,H1,G4020,,,,A,2003652477,22681772,30.7799036,-82.1396442
186,1,185,DFCS,Chatham,GA DFCS Office-Chatham County,shawn.brown@dhs.ga.gov,912-651-2396,,Shawn Brown,,,,,,"761 Wheaton St., Savannah GA 31401",,-81.083313,32.0698886,"761 wheaton st, savannah, ga 31401, usa",13,51,1694477,13051,Chatham,Chatham County,6,H1,G4020,496,42340,,A,1105168782,532382555,31.980523,-81.0851899
187,1,186,DFCS,Chattahoochee,GA DFCS Office-Chattahoochee County,donna.tennison@dhs.ga.gov,706-989-3711,,Donna Tennison,,,,,,"209 McNaughton St., Cusseta GA 31805",,-84.7645667,32.308083,"209 mcnaughton st, cusseta, ga 31805, usa",13,53,351012,13053,Chattahoochee,Chattahoochee County,6,H6,G4020,194,17980,,C,644223515,6292717,32.3474454,-84.7880206
188,1,187,DFCS,Chattooga,GA DFCS Office-Chattooga County,kimberly.ballardhumphrey@dhs.ga.gov,706-857-0845,,Kim Humphrey,,,,,,"102 Highway 48, Summerville, Ga 30747-1512",,-85.3509693,34.4774364,"102 ga-48, summerville, ga 30747, usa",13,55,352213,13055,Chattooga,Chattooga County,6,H1,G4020,,44900,,A,811512413,570807,34.4741785,-85.3452894
189,1,188,DFCS,Cherokee,GA DFCS Office-Cherokee County,Brooke.Ford@dhs.ga.gov,770-720-3629,,Brooke Ford,,,,,,"105 Lamar Haley Pkwy., Canton GA 30114",,-84.4747267,34.2412055,"105 lamar haley pkwy, canton, ga 30114, usa",13,57,1685718,13057,Cherokee,Cherokee County,6,H1,G4020,122,12060,,A,1092141193,32963099,34.2443166,-84.4750574
190,1,189,DFCS,Clarke,GA DFCS Office-Clarke County,dawn.criss@dhs.ga.gov,706-227-7005,,Dawn Criss,,,,,,"284 North Ave., Athens GA 30601",,-83.364827,33.9728776,"284 north ave, athens, ga 30601, usa",13,59,1672699,13059,Clarke,Clarke County,6,H6,G4020,,12020,,C,308738478,4741270,33.9521852,-83.3671522
191,1,190,DFCS,Clay,GA DFCS Office-Clay County,Mary.Shaver@dhs.ga.gov,229 768-3310,,"Mary Shaver, Interim",,,,,,"155 Wilson St., Suite 1, Fort Gaines, GA  39851",,-85.0478041,31.6059261,"155 wilson st #1, fort gaines, ga 39851, usa",13,61,344805,13061,Clay,Clay County,6,H1,G4020,,,,A,506035694,56603701,31.6198309,-84.9925826
192,1,191,DFCS,Clayton,GA DFCS Office-Clayton County,Nia.Cantey@dhs.ga.gov,770-473-2317,,Nia Cantey,,,,,,"877 Battlecreek Rd, Jonesboro GA 30236",,-84.363274,33.552587,"877 battle creek rd, jonesboro, ga 30236, usa",13,63,1672399,13063,Clayton,Clayton County,6,H1,G4020,122,12060,,A,366748529,7063449,33.5426863,-84.3555727
193,1,192,DFCS,Clinch,GA DFCS Office-Clinch County,natalie.howell@dhs.ga.gov,229-482-3705,,Natalie Howell,,,,,,"17 E Shirley Road, Homerville GA 31634",,-82.7421736,31.0292827,"17 shirley rd, homerville, ga 31634, usa",13,65,351285,13065,Clinch,Clinch County,6,H1,G4020,,,,A,2072566627,61565581,30.9176531,-82.7026143
194,1,193,DFCS,Cobb,GA DFCS Office-Cobb County,lasondra.howard-boddie@dhs.ga.gov,770-528-5008,,Lasondra Howard-Boddie,,,,,,"325 S. Fairground Street, Marietta GA 30060",,-84.5345876,33.9444099,"325 fairground st se, marietta, ga 30060, usa",13,67,1686112,13067,Cobb,Cobb County,6,H1,G4020,122,12060,,A,879749607,12574593,33.93994,-84.5741657
195,1,194,DFCS,Coffee,GA DFCS Office-Coffee County,kelley.harmon@dhs.ga.gov,912-389-4152,,Kelley Harmon,,,,,,"1300 West Baker Hwy, Douglas GA 31534",,-82.8663338,31.4993758,"1300 w baker hwy, douglas, ga 31533, usa",13,69,347456,13069,Coffee,Coffee County,6,H1,G4020,,20060,,A,1490019179,70837644,31.5492446,-82.8449382
196,1,195,DFCS,Colquitt,GA DFCS Office-Colquitt County,meredith.yancey@dhs.ga.gov,229-217-4086,,Meredith Yancey Willis,,,,,,"449 N. Main St. Suite A, Moultrie GA 31768",,-83.7895284,31.1844624,"449 n main st suite a, moultrie, ga 31768, usa",13,71,343936,13071,Colquitt,Colquitt County,6,H1,G4020,,34220,,A,1409383647,32304996,31.1897575,-83.7697405
197,1,196,DFCS,Columbia,GA DFCS Office-Columbia County,brandi.threat@dhs.ga.gov,706-541-0143,,Brandi Threat,,,,,,"6358 Columbia Road, Appling GA  30802",,-82.3070201,33.5322008,"6358 columbia rd, appling, ga 30802, usa",13,73,348865,13073,Columbia,Columbia County,6,H1,G4020,,12260,,A,751319916,45368325,33.5505513,-82.2513613
198,1,197,DFCS,Cook,GA DFCS Office-Cook County,ronnm.ross@dhs.ga.gov,229-896-3068,,Ronn M.Ross,,,,,,"1010 South Hutchinson Ave., Adel GA 31620",,-83.4197011,31.1243572,"1010 s hutchinson ave, adel, ga 31620, usa",13,75,343878,13075,Cook,Cook County,6,H1,G4020,,,,A,588328555,15664206,31.1529619,-83.4295668
199,1,198,DFCS,Coweta,GA DFCS Office-Coweta County,Gretchen.Cleveland@dhs.ga.gov,770-254-7241,,Gretchen Cleveland,,,,,,"533 Hwy 29 N., Newnan GA 30263",,-84.7855824,33.3421626,"533 highway 29 south, newnan, ga 30263, usa",13,77,326666,13077,Coweta,Coweta County,6,H1,G4020,122,12060,,A,1141929899,12730333,33.3528965,-84.7621381
200,1,199,DFCS,Crawford,GA DFCS Office-Crawford County,Mildred.Smith@dhs.ga.gov,478-836-6044,,Mildred Smith,,,,,,"360 N. Dugger Ave., Roberta GA 31078",,-84.0141398,32.7235071,"360 n dugger ave, roberta, ga 31078, usa",13,79,342918,13079,Crawford,Crawford County,6,H1,G4020,356,31420,,A,841521493,3989489,32.7094283,-83.9791874
201,1,200,DFCS,Crisp,GA DFCS Office-Crisp County,Jena.Jones@dhs.ga.gov,229-276-2756,,Jena Jones,,,,,,"107 W. 23rd Ave., Cordele GA 31010",,-83.7832671,31.9555419,"107 23rd ave w, cordele, ga 31015, usa",13,81,351607,13081,Crisp,Crisp County,6,H1,G4020,,18380,,A,705989189,21671085,31.9147534,-83.7533381
202,1,201,DFCS,Dade,GA DFCS Office-Dade County,Kathy.Johnson@dhs.ga.gov,706-657-2694,,Kathy Johnson,,,,,,"71 Case Avenue, Trenton GA 30752-0159",,-85.5107689,34.8720856,"71 case ave, trenton, ga 30752, usa",13,83,347465,13083,Dade,Dade County,6,H1,G4020,174,16860,,A,450605025,467844,34.8524237,-85.5062006
203,1,202,DFCS,Dawson,GA DFCS Office-Dawson County,scott.wilbanks@dhs.ga.gov,706-864-1987,,Scott Wilbanks,,,,,,"424 Highway 53, Dawsonville GA 30534",,-84.1137018,34.4161032,"424 hwy 53, dawsonville, ga 30534, usa",13,85,351312,13085,Dawson,Dawson County,6,H1,G4020,122,12060,,A,546042466,9272855,34.4428421,-84.1732841
204,1,203,DFCS,Decatur,GA DFCS Office-Decatur County,jackie.bridges@dhs.ga.gov,229-248-3942,,Jackie Bridges,,,,,,"505 S. Wheat Ave., Bainbridge GA 39819",,-84.5539034,30.9018853,"505 s wheat ave, bainbridge, ga 39819, usa",13,87,352234,13087,Decatur,Decatur County,6,H1,G4020,,12460,,A,1546584790,67412745,30.8780906,-84.5778942
205,1,204,DFCS,DeKalb,GA DFCS Office-DeKalb County,Kwesi.Booker@dhs.ga.gov,404-370-5164,,Kwesi Booker,,,,,,"178 Sams Street, Decatur GA 30030",,-84.2816892,33.7714319,"178 sams st, decatur, ga 30030, usa",13,89,1687424,13089,DeKalb,DeKalb County,6,H1,G4020,122,12060,,A,693052824,9201253,33.7706611,-84.2263431
206,1,205,DFCS,Dodge,GA DFCS Office-Dodge County,natalie.conley@dhs.ga.gov,478-374-7553,,Natalie Conley,,,,,,"1111 Plaza Ave., Eastman GA  31023",,-83.1785913,32.1821171,"1111 plaza ave, eastman, ga 31023, usa",13,91,348116,13091,Dodge,Dodge County,6,H1,G4020,,,,A,1284365335,18692940,32.1602346,-83.1562413
207,1,206,DFCS,Dooly,GA DFCS Office-Dooly County,Jena.Jones@dhs.ga.gov,229-268-1388,,Jena Jones,,,,,,"1022 E. Union St., Vienna GA 31092",,-83.7770466,32.0878482,"1022 e union st, vienna, ga 31092, usa",13,93,351608,13093,Dooly,Dooly County,6,H1,G4020,,,,A,1015120169,13841084,32.1519954,-83.807167
208,1,207,DFCS,Dougherty,GA DFCS Office-Dougherty County,pamela.lofton@dhs.ga.gov,229-430-3288,,Pamela Lofton,,,,,,200 W. Oglethorpe Blvd. Albany GA 31701,,-84.152005,31.5748901,"200 w oglethorpe blvd, albany, ga 31701, usa",13,95,351259,13095,Dougherty,Dougherty County,6,H1,G4020,,10500,,A,851140270,15396050,31.5325876,-84.20904
209,1,208,DFCS,Douglas,GA DFCS Office-Douglas County,kay.wimpy@dhs.ga.gov,770-489-3007,,Kay J Wimpy,,,,,,"8473 Duralee Lane Suite 100, Douglasville GA 30134",,-84.72723,33.7492996,"8473 duralee ln #100, douglasville, ga 30134, usa",13,97,1686467,13097,Douglas,Douglas County,6,H1,G4020,122,12060,,A,518142392,2485428,33.6993166,-84.7659441
210,1,209,DFCS,Early,GA DFCS Office-Early County,Robert.lee@dhs.ga.gov,229-724-2002,,"Robert Lee, Interim",,,,,,"11860 Columbia Ave., Blakely GA 39823",,-84.9460991,31.3744201,"11860 columbia rd, blakely, ga 39823, usa",13,99,345041,13099,Early,Early County,6,H1,G4020,,,,A,1327612226,9717177,31.3241906,-84.9067225
211,1,210,DFCS,Echols,GA DFCS Office-Echols County,ronnm.ross@dhs.ga.gov,229-896-3068,,Ronn M.Ross,,,,,,"106 Church Of God St., Statenville GA 31648",,-83.0230041,30.7035559,"106 church of god st, statenville, ga 31648, usa",13,101,348092,13101,Echols,Echols County,6,H1,G4020,,46660,,A,1074571679,15087403,30.7085,-82.836132
212,1,211,DFCS,Effingham,GA DFCS Office-Effingham County,dedra.simich@dhs.ga.gov,912-754-6620,,Dedra Simich,,,,,,"204 Franklin St., Springfield GA 31329",,-81.3137245,32.3731016,"204 franklin st, springfield, ga 31329, usa",13,103,350219,13103,Effingham,Effingham County,6,H1,G4020,496,42340,,A,1237246284,13537765,32.3617106,-81.3433367
213,1,212,DFCS,Elbert,GA DFCS Office-Elbert County,kristy.daniels@dhs.ga.gov,706-213-2146,,Kristy Daniels,,,,,,45 Forest Ave.  Elberton GA 30635,,-82.8687314,34.1099645,"45 forest ave, elberton, ga 30635, usa",13,105,347828,13105,Elbert,Elbert County,6,H1,G4020,,,,A,909234666,59980881,34.116486,-82.8418155
214,1,213,DFCS,Emanuel,GA DFCS Office-Emanuel County,cecilia.schenck@dhs.ga.gov,478-289-2411,,Cecilia Schenck,,,,,,"143 North Anderson Dr., Swainsboro GA 30401",,-82.326417,32.6035369,"143 n anderson dr, swainsboro, ga 30401, usa",13,107,347508,13107,Emanuel,Emanuel County,6,H1,G4020,,,,A,1762760467,24802070,32.5910995,-82.2997628
215,1,214,DFCS,Evans,GA DFCS Office-Evans County,rose.morris@dhs.ga.gov,912-739-6330,,"Rose Morris, Acting",,,,,,"201 Freeman St. BSMT, Claxton GA 30417",,-81.9074901,32.1618096,"201 freeman st, claxton, ga 30417, usa",13,109,345923,13109,Evans,Evans County,6,H1,G4020,,,,A,473607497,10382490,32.1519021,-81.887618
216,1,215,DFCS,Fannin,GA DFCS Office-Fannin County,Kathy.henson@dhs.ga.gov,706-632-1174,,Kathy Henson,,,,,,"990 East Main Street, Ste. 10, Blue Ridge GA 30513",,-84.3275395,34.8624235,"990 e main st #10, blue ridge, ga 30513, usa",13,111,351094,13111,Fannin,Fannin County,6,H1,G4020,,,,A,1002058824,13560698,34.866497,-84.3174397
217,1,216,DFCS,Fayette,GA DFCS Office-Fayette County,susan.boggs@dhs.ga.gov,770-460-2572,,Susan R. Boggs,,,,,,"905 Highway 85 South, Fayetteville GA 30215",,-84.4598113,33.4280654,"905 ga-85, fayetteville, ga 30215, usa",13,113,1687740,13113,Fayette,Fayette County,6,H1,G4020,122,12060,,A,503398001,12847733,33.4127172,-84.4939407
218,1,217,DFCS,Floyd,GA DFCS Office-Floyd County,lindsey.howerton@dhs.ga.gov,706-295-6506,,Lindsey Howerton,,,,,,"450 Riverside Pkwy, Suite 110, Rome GA  30161",,-85.1691216,34.2738764,"450 riverside pkwy ne #110, rome, ga 30161, usa",13,115,353665,13115,Floyd,Floyd County,6,H1,G4020,,40660,,A,1320694712,22123874,34.2636769,-85.2137297
219,1,218,DFCS,Forsyth,GA DFCS Office-Forsyth County,margaret.dawe@dhs.ga.gov,770-781-6717,,Margaret Dawe,,,,,,"426 Canton Road, Cumming GA 30028",,-84.1493258,34.2153982,"426 canton rd, cumming, ga 30040, usa",13,117,1673358,13117,Forsyth,Forsyth County,6,H1,G4020,122,12060,,A,580409088,59754295,34.225143,-84.1274353
220,1,219,DFCS,Franklin,GA DFCS Office-Franklin County,bryant.rogowski@dhs.ga.gov,706-384-2358,,Bryant Rogowski,,,,,,"1133 Hull Street, Carnesville GA 30521",,-83.2350006,34.3684545,"1133 hull ave, carnesville, ga 30521, usa",13,119,349324,13119,Franklin,Franklin County,6,H1,G4020,,,,A,677301787,12803554,34.3751554,-83.2272905
221,1,220,DFCS,Fulton North,GA DFCS Office-Fulton North County,Kristen.Toliver@dhs.ga.gov,770-774-7802,,Kristen Toliver,,,,,,"6075 Roswell Road #300, Atlanta GA 30238",,-84.3782716,33.9207057,"6075 roswell rd #300, atlanta, ga 30328, usa",13,121,1694833,13121,Fulton,Fulton County,6,H1,G4020,122,12060,,A,1364064364,19824081,33.7900338,-84.4681816
222,1,221,DFCS,Fulton NW,GA DFCS Office-Fulton NW County,Kristen.Toliver@dhs.ga.gov,770-774-7802,,Kristen Toliver,,,,,,"1249 Donald Lee Hollowell Pkwy, Atlanta GA 30318",,-84.4281838,33.7737531,"1249 donald lee hollowell pkwy nw, atlanta, ga 30318, usa",13,121,1694833,13121,Fulton,Fulton County,6,H1,G4020,122,12060,,A,1364064364,19824081,33.7900338,-84.4681816
223,1,222,DFCS,Fulton South,GA DFCS Office-Fulton South County,Kristen.Toliver@dhs.ga.gov,770-774-7802,,Kristen Toliver,,,,,,"5710 Stonewall Tell Rd, College Park GA 30349",,-84.5485094,33.5993773,"5710 stonewall tell rd, union city, ga 30291, usa",13,121,1694833,13121,Fulton,Fulton County,6,H1,G4020,122,12060,,A,1364064364,19824081,33.7900338,-84.4681816
224,1,223,DFCS,Fulton SW,GA DFCS Office-Fulton SW County,Kristen.Toliver@dhs.ga.gov,770-774-7802,,Kristen Toliver,,,,,,"515 Fairburn Road SW, Atlanta GA 30331",,-84.5108161,33.7397397,"515 fairburn rd sw, atlanta, ga 30331, usa",13,121,1694833,13121,Fulton,Fulton County,6,H1,G4020,122,12060,,A,1364064364,19824081,33.7900338,-84.4681816
225,1,224,DFCS,Gilmer,GA DFCS Office-Gilmer County,Jennifer.Farmer@dhs.ga.gov,706-273-1605,,Jennifer Farmer,,,,,,"54 Kiker Street, Ellijay GA 30540-1328",,-84.4770633,34.6883097,"54 kiker st, ellijay, ga 30540, usa",13,123,351260,13123,Gilmer,Gilmer County,6,H1,G4020,,,,A,1104289499,12186867,34.6905413,-84.4539838
226,1,225,DFCS,Glascock,GA DFCS Office-Glascock County,Laura.elsner@dhs.ga.gov,706-625-6803,,Laura Elsner- Interim,,,,,,"674 W Main St., Gibson GA 30810",,-82.6069361,33.2313461,"674 e main st, gibson, ga 30810, usa",13,125,345642,13125,Glascock,Glascock County,6,H1,G4020,,,,A,372283962,1847844,33.2274908,-82.6069126
227,1,226,DFCS,Glynn,GA DFCS Office-Glynn County,Dana.Gellermann@dhs.ga.gov,912-262-3251,,Dana Gellermann,,,,,,"823 Scranton Road, Brunswick,  GA  31525",,-81.4908279,31.223185,"823 scranton rd, brunswick, ga 31525, usa",13,127,1671513,13127,Glynn,Glynn County,6,H1,G4020,,15260,,A,1087271166,428514078,31.2127465,-81.4965167
228,1,227,DFCS,Gordon,GA DFCS Office-Gordon County,Rachel.Brooks@dhs.ga.gov,706-624-1224,,Rachel Brooks,,,,,,"619 Mauldin Rd. NW, Calhoun, GA 30701",,-84.9510902,34.5202329,"619 mauldin rd nw, calhoun, ga 30701, usa",13,129,356672,13129,Gordon,Gordon County,6,H1,G4020,,15660,,A,921538858,5787657,34.5096669,-84.8738622
229,1,228,DFCS,Grady,GA DFCS Office-Grady County,john.white2@dhs.ga.gov,229-377-7587,,John White,,,,,,"250 2nd Ave. SE, Cairo GA 39828",,-84.2060743,30.8749414,"250 2nd ave se, cairo, ga 39828, usa",13,131,351261,13131,Grady,Grady County,6,H1,G4020,,,,A,1177231852,14846272,30.875891,-84.2450655
230,1,229,DFCS,Greene,GA DFCS Office-Greene County,Anna.Wheeler@dhs.ga.gov,706-453-5111,,Anna Wheeler,,,,,,"1951 S. Main St., Greensboro GA 30642",,-83.1945817,33.5551735,"1951 s main st, greensboro, ga 30642, usa",13,133,348672,13133,Greene,Greene County,6,H1,G4020,,,,A,1003451792,48629720,33.5768191,-83.1671025
231,1,230,DFCS,Gwinnett,GA DFCS Office-Gwinnett County,travis.moses@dhs.ga.gov,770-390-4154,,Travis Moses,,,,,,"95 Constitution Blvd Suite 400, Lawrenceville GA 30046",,-83.9943359,33.9491601,"95 constitution blvd #400, lawrenceville, ga 30046, usa",13,135,1688166,13135,Gwinnett,Gwinnett County,6,H1,G4020,122,12060,,A,1114861845,16381091,33.9590988,-84.0229486
232,1,231,DFCS,Habersham,GA DFCS Office-Habersham County,maria.ryder@dhs.ga.gov,706-754-0361,,Maria Ryder,,,,,,"1045 Grant St., Clarkesville GA 30523",,-83.512935,34.617237,"1045 grant st, clarkesville, ga 30523, usa",13,137,351383,13137,Habersham,Habersham County,6,H1,G4020,,18460,,A,716754681,5917226,34.6351078,-83.5264058
233,1,232,DFCS,Hall,GA DFCS Office-Hall County,Latisha.Flesher@dhs.ga.gov,770-532-5268,,Latisha Flesher,,,,,,"970 McEver Road Ext., Gainesville GA 30504",,-83.8637863,34.2968255,"970 mcever rd, gainesville, ga 30504, usa",13,139,1686953,13139,Hall,Hall County,6,H1,G4020,122,23580,,A,1017305163,94563088,34.3175876,-83.8184973
234,1,233,DFCS,Hancock,GA DFCS Office-Hancock County,ollivette.long@dhs.ga.gov,706-444-1204,,Ollivette Long,,,,,,"12744 Broad St., Sparta GA 31087",,-82.9740819,33.2757608,"12744 broad st, sparta, ga 31087, usa",13,141,348209,13141,Hancock,Hancock County,6,H1,G4020,,33300,,A,1220057466,17479735,33.2692195,-83.0004653
235,1,234,DFCS,Haralson,GA DFCS Office-Haralson County,susan.ollis@dhs.ga.gov,770-646-1820,,Susan Ollis,,,,,,"21 Magnolia St., Buchannan GA 30113",,-85.1799931,33.7964677,"21 magnolia st, buchanan, ga 30113, usa",13,143,350637,13143,Haralson,Haralson County,6,H1,G4020,122,12060,,A,730804126,2616002,33.7951649,-85.2200622
236,1,235,DFCS,Harris,GA DFCS Office-Harris County,derick.pinkney@dhs.ga.gov,706-628-7051,,Derick Pinkney,,,,,,"134 N. College St, Hamilton, GA 31811",,-84.8747489,32.760446,"134 n college st, hamilton, ga 31811, usa",13,145,326700,13145,Harris,Harris County,6,H1,G4020,194,17980,,A,1201461944,23488481,32.7315494,-84.912432
237,1,236,DFCS,Hart,GA DFCS Office-Hart County,bryant.rogowski@dhs.ga.gov,706-384-2358,,Bryant Rogowski,,,,,,"267 East Johnson Street, Hartwell GA 30643",,-82.9268358,34.3541378,"267 e johnson st, hartwell, ga 30643, usa",13,147,1687995,13147,Hart,Hart County,6,H1,G4020,,,,A,601903624,63588442,34.3487328,-82.96329
238,1,237,DFCS,Heard,GA DFCS Office-Heard County,charlene.harrod@dhs.ga.gov,706-675-1283,,Charlene Harrod,,,,,,"1188 Franklin Pkwy / POB 385, Franklin GA 30217",,-85.0915835,33.2720922,"1188 franklin pkwy, franklin, ga 30217, usa",13,149,347067,13149,Heard,Heard County,6,H1,G4020,122,12060,,A,766718873,13112095,33.2909683,-85.1395936
239,1,238,DFCS,Henry,GA DFCS Office-Henry County,angela.thompson2@dhs.ga.gov,770-954-2020,,"Angela ""Angie"" Thompson",,,,,,"125 Henry Pkwy, McDonough GA 30253",,-84.1704676,33.4242793,"125 henry pkwy, mcdonough, ga 30253, usa",13,151,1671894,13151,Henry,Henry County,6,H1,G4020,122,12060,,A,834398851,11353184,33.4528811,-84.1544404
240,1,239,DFCS,Houston,GA DFCS Office-Houston County,traci.freeman@dhs.ga.gov,478-988-7597,,Traci Freeman,,,,,,"92 Cohen Walker Dr.,  Warner Robins GA 31088",,-83.6733705,32.5453871,"92 cohen walker dr, kathleen, ga 31047, usa",13,153,1671693,13153,Houston,Houston County,6,H1,G4020,356,47580,,A,972671323,11319304,32.4583811,-83.6628559
241,1,240,DFCS,Irwin,GA DFCS Office-Irwin County,sabrina.levante@dhs.ga.gov,229-468-2160,,Sabrina Levante,,,,,,"108 North Irwin Avenue, Ocilla GA 31774",,-83.2509067,31.5948498,"108 n irwin ave, ocilla, ga 31774, usa",13,155,352302,13155,Irwin,Irwin County,6,H1,G4020,,22340,,A,917744030,21807456,31.6043062,-83.2770374
242,1,241,DFCS,Jackson,GA DFCS Office-Jackson County,marybarrett.yancey@dhs.ga.gov,706-367-3019,,Mary Barrett Yancey,,,,,,"456 Athens Street, Jefferson GA 30549",,-83.5745007,34.1103963,"456 athens st, jefferson, ga 30549, usa",13,157,349570,13157,Jackson,Jackson County,6,H1,G4020,,,,A,879716306,8906799,34.134157,-83.5651332
243,1,242,DFCS,Jasper,GA DFCS Office-Jasper County,nickie.corbitt@dhs.ga.gov,706-484-2928,,Nickie Corbitt,,,,,,"226 Funderburg Dr., Monticello GA 31064",,-83.6840079,33.3036987,"226 funderburg dr, monticello, ga 31064, usa",13,159,346144,13159,Jasper,Jasper County,6,H1,G4020,122,12060,,A,953541458,13727203,33.3181278,-83.6895054
244,1,243,DFCS,Jeff Davis,GA DFCS Office-Jeff Davis County,vickie.jackson@dhs.ga.gov,912-375-8992,,Vickie Jackson,,,,,,"40 E. Sycamore St., Hazlehurst GA 31539",,-82.5953677,31.8661361,"40 e sycamore st, hazlehurst, ga 31539, usa",13,161,1687999,13161,Jeff Davis,Jeff Davis County,6,H1,G4020,,,,A,856624688,12052223,31.8116153,-82.6368248
