OBJECTID,Join_Count,TARGET_FID,STORE_NAME,DISTRICT,COUNTY,PHYSICAL_S,PHYSICAL_C,PHYSICAL_1,PHYSICAL_Z,STORE_TYPE,PHONE,addresses,origAddres,X,Y,address,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
322,1,321,CVS PHARMACY #7633,GWINNETT,GWINNETT,1190 INDIAN TRAIL ROAD,NORCROSS,GA,30,Pharmacy/Drugstore,(770) 638-8958,"1190 INDIAN TRAIL ROAD, NORCROSS, GA","1190 INDIAN TRAIL ROAD, NORCROSS, GA",-84.16028920000,33.91322540000,"1190 indian trail lilburn rd nw, norcross, ga 30093, usa",13,135,01688166,13135,Gwinnett,Gwinnett County,06,H1,G4020,122,12060,,A,1114861845.00000000000,16381091.00000000000,+33.9590988,-084.0229486
323,1,322,CVS PHARMACY #7637,ATHENS,JACKSON,5848 HIGHWAY 124 WEST,HOSCHTON,GA,30,Pharmacy/Drugstore,(706) 654-1439,"5848 HIGHWAY 124 WEST, HOSCHTON, GA","5848 HIGHWAY 124 WEST, HOSCHTON, GA",-83.69940420000,34.10833250000,"5848 ga-124, hoschton, ga 30548, usa",13,157,00349570,13157,Jackson,Jackson County,06,H1,G4020,,,,A,879716306.00000000000,8906799.00000000000,+34.1341570,-083.5651332
324,1,323,CVS PHARMACY #7665,COBB-DOUGLAS,COBB,"3513 BAKER ROAD, SUITE 50",ACWORTH,GA,30,Pharmacy/Drugstore,(770) 917-0408,"3513 BAKER ROAD, SUITE 50, ACWORTH, GA","3513 BAKER ROAD, SUITE 50, ACWORTH, GA",-84.65279550000,34.07469950000,"3513 baker rd #50, acworth, ga 30101, usa",13,067,01686112,13067,Cobb,Cobb County,06,H1,G4020,122,12060,,A,879749607.00000000000,12574593.00000000000,+33.9399400,-084.5741657
325,1,324,CVS PHARMACY #7666,COLUMBUS,MUSCOGEE,4432 MILLER ROAD,COLUMBUS,GA,31,Pharmacy/Drugstore,(706) 561-5001,"4432 MILLER ROAD, COLUMBUS, GA","4432 MILLER ROAD, COLUMBUS, GA",-84.91519960000,32.52255020000,"4432 miller rd, columbus, ga 31909, usa",13,215,00357428,13215,Muscogee,Muscogee County,06,H6,G4020,194,17980,,C,560530553.00000000000,11873623.00000000000,+32.5101970,-084.8749460
326,1,325,CVS PHARMACY #7673,MACON,HOUSTON,1557 WATSON BOULEVARD,WARNER ROBINS,GA,31,Pharmacy/Drugstore,(478) 923-7188,"1557 WATSON BOULEVARD, WARNER ROBINS, GA","1557 WATSON BOULEVARD, WARNER ROBINS, GA",-83.62889860000,32.61776870000,"1557 watson blvd, warner robins, ga 31093, usa",13,153,01671693,13153,Houston,Houston County,06,H1,G4020,356,47580,,A,972671323.00000000000,11319304.00000000000,+32.4583811,-083.6628559
327,1,326,CVS PHARMACY #7701,DALTON,FANNIN,30 ORVIN LANCE DRIVE,BLUE RIDGE,GA,30,Pharmacy/Drugstore,(706) 632-8097,"30 ORVIN LANCE DRIVE, BLUE RIDGE, GA","30 ORVIN LANCE DRIVE, BLUE RIDGE, GA",-84.29975190000,34.87547680000,"30 orvin lance dr, blue ridge, ga 30513, usa",13,111,00351094,13111,Fannin,Fannin County,06,H1,G4020,,,,A,1002058824.00000000000,13560698.00000000000,+34.8664970,-084.3174397
328,1,327,CVS PHARMACY #7706,MACON,MONROE,430 TIFT COLLEGE DRIVE,FORSYTH,GA,31,Pharmacy/Drugstore,(478) 994-0193,"430 TIFT COLLEGE DRIVE, FORSYTH, GA","430 TIFT COLLEGE DRIVE, FORSYTH, GA",-83.92570970000,33.03507850000,"430 tift college dr, forsyth, ga 31029, usa",13,207,00343073,13207,Monroe,Monroe County,06,H1,G4020,356,31420,,A,1024750677.00000000000,5575320.00000000000,+33.0174352,-083.9229376
329,1,328,CVS PHARMACY #7712,ATHENS,WALTON,4377 ATLANTA HIGHWAY,LOGANVILLE,GA,30,Pharmacy/Drugstore,(770) 466-0109,"4377 ATLANTA HIGHWAY, LOGANVILLE, GA","4377 ATLANTA HIGHWAY, LOGANVILLE, GA",-83.48740680000,33.93975020000,"4377 atlanta hwy, bogart, ga 30622, usa",13,059,01672699,13059,Clarke,Clarke County,06,H6,G4020,,12020,,C,308738478.00000000000,4741270.00000000000,+33.9521852,-083.3671522
330,1,329,CVS PHARMACY #7717,WAYCROSS,TOOMBS,1201 FIRST STREET EAST,VIDALIA,GA,30,Pharmacy/Drugstore,(912) 537-8766,"1201 FIRST STREET EAST, VIDALIA, GA","1201 FIRST STREET EAST, VIDALIA, GA",-82.39937900000,32.21148780000,"1201 e 1st st, vidalia, ga 30474, usa",13,279,00345220,13279,Toombs,Toombs County,06,H1,G4020,,47080,,A,942770655.00000000000,18093842.00000000000,+32.1266975,-082.3320708
331,1,330,CVS PHARMACY #7721,ROME,HARALSON,206 ALABAMA AVENUE SOUTH,BREMEN,GA,30,Pharmacy/Drugstore,(770) 537-3847,"206 ALABAMA AVENUE SOUTH, BREMEN, GA","206 ALABAMA AVENUE SOUTH, BREMEN, GA",-85.14465490000,33.71974500000,"206 alabama ave, bremen, ga 30110, usa",13,143,00350637,13143,Haralson,Haralson County,06,H1,G4020,122,12060,,A,730804126.00000000000,2616002.00000000000,+33.7951649,-085.2200622
332,1,331,CVS PHARMACY #7736,DALTON,GILMER,601 HOWARD SIMMONS ROAD,EAST ELLIJAY,GA,30,Pharmacy/Drugstore,(706) 635-2500,"601 HOWARD SIMMONS ROAD, EAST ELLIJAY, GA","601 HOWARD SIMMONS ROAD, EAST ELLIJAY, GA",-84.49317090000,34.65789500000,"601 howard simmons rd, east ellijay, ga 30540, usa",13,123,00351260,13123,Gilmer,Gilmer County,06,H1,G4020,,,,A,1104289499.00000000000,12186867.00000000000,+34.6905413,-084.4539838
333,1,332,CVS PHARMACY #7744,MACON,PUTNAM,809 SOUTH OAK STREET,EATONTON,GA,31,Pharmacy/Drugstore,(706) 485-5832,"809 SOUTH OAK STREET, EATONTON, GA","809 SOUTH OAK STREET, EATONTON, GA",-83.39229650000,33.31549940000,"809 oak st, eatonton, ga 31024, usa",13,237,00347246,13237,Putnam,Putnam County,06,H1,G4020,,,,A,892634319.00000000000,41539311.00000000000,+33.3210605,-083.3717898
334,1,333,CVS PHARMACY #7745,ROME,CATOOSA,6945 NASHVILLE STREET,RINGGOLD,GA,30,Pharmacy/Drugstore,(706) 935-9861,"6945 NASHVILLE STREET, RINGGOLD, GA","6945 NASHVILLE STREET, RINGGOLD, GA",-85.12325950000,34.91880860000,"6945 nashville st, ringgold, ga 30736, usa",13,047,00353230,13047,Catoosa,Catoosa County,06,H1,G4020,174,16860,,A,419999394.00000000000,771159.00000000000,+34.8993926,-085.1373531
335,1,334,CVS PHARMACY #7746,AUGUSTA,RICHMOND,2559 WINDSOR SPRING ROAD,AUGUSTA,GA,30,Pharmacy/Drugstore,(706) 796-8146,"2559 WINDSOR SPRING ROAD, AUGUSTA, GA","2559 WINDSOR SPRING ROAD, AUGUSTA, GA",-82.05796570000,33.39705400000,"2559 windsor spring rd, augusta, ga 30906, usa",13,245,00358024,13245,Richmond,Richmond County,06,H6,G4020,,12260,,C,840008420.00000000000,11042329.00000000000,+33.3614870,-082.0749983
336,1,335,CVS PHARMACY #7755,ROME,DADE,5431 HIGHWAY 136,TRENTON,GA,30,Pharmacy/Drugstore,(706) 657-8011,"5431 HIGHWAY 136, TRENTON, GA","5431 HIGHWAY 136, TRENTON, GA",-85.51177500000,34.86941240000,"5431 ga-136, trenton, ga 30752, usa",13,083,00347465,13083,Dade,Dade County,06,H1,G4020,174,16860,,A,450605025.00000000000,467844.00000000000,+34.8524237,-085.5062006
337,1,336,CVS PHARMACY #7758,BRUNSWICK,EFFINGHAM,410 SOUTH COLUMBIA AVENUE,RINCON,GA,31,Pharmacy/Drugstore,(912) 826-2296,"410 SOUTH COLUMBIA AVENUE, RINCON, GA","410 SOUTH COLUMBIA AVENUE, RINCON, GA",-81.22895510000,32.27661250000,"410 s columbia ave, rincon, ga 31326, usa",13,103,00350219,13103,Effingham,Effingham County,06,H1,G4020,496,42340,,A,1237246284.00000000000,13537765.00000000000,+32.3617106,-081.3433367
338,1,337,CVS PHARMACY #7759,GAINESVILLE,RABUN,308 SOUTH US HIGHWAY 441,CLAYTON,GA,30,Pharmacy/Drugstore,(706) 782-2722,"308 SOUTH US HIGHWAY 441, CLAYTON, GA","308 SOUTH US HIGHWAY 441, CLAYTON, GA",-83.40005340000,34.87444160000,"308 us-441, clayton, ga 30525, usa",13,241,00351489,13241,Rabun,Rabun County,06,H1,G4020,,,,A,958280750.00000000000,17841169.00000000000,+34.8830262,-083.4047353
339,1,338,CVS PHARMACY #7770,GWINNETT,GWINNETT,2850 LAWRENCEVILLE-SUWANE,SUWANEE,GA,30,Pharmacy/Drugstore,(770) 932-5410,"2850 LAWRENCEVILLE-SUWANE, SUWANEE, GA","2850 LAWRENCEVILLE-SUWANE, SUWANEE, GA",-84.04809970000,34.03765080000,"3255 lawrenceville suwane, suwanee, ga 30024, united states",13,135,01688166,13135,Gwinnett,Gwinnett County,06,H1,G4020,122,12060,,A,1114861845.00000000000,16381091.00000000000,+33.9590988,-084.0229486
340,1,339,CVS PHARMACY #7772,FULTON,FULTON,10710 STATE BRIDGE ROAD,ALPHARETTA,GA,30,Pharmacy/Drugstore,(770) 346-8432,"10710 STATE BRIDGE ROAD, ALPHARETTA, GA","10710 STATE BRIDGE ROAD, ALPHARETTA, GA",-84.21919310000,34.04150630000,"10710 state bridge rd, alpharetta, ga 30022, usa",13,121,01694833,13121,Fulton,Fulton County,06,H1,G4020,122,12060,,A,1364064364.00000000000,19824081.00000000000,+33.7900338,-084.4681816
341,1,340,CVS PHARMACY #7778,DEKALB,DEKALB,3820 NORTH DECATUR ROAD,DECATUR,GA,30,Pharmacy/Drugstore,(404) 299-9154,"3820 NORTH DECATUR ROAD, DECATUR, GA","3820 NORTH DECATUR ROAD, DECATUR, GA",-84.23735830000,33.78612920000,"3820 n decatur rd, decatur, ga 30032, usa",13,089,01687424,13089,DeKalb,DeKalb County,06,H1,G4020,122,12060,,A,693052824.00000000000,9201253.00000000000,+33.7706611,-084.2263431
342,1,341,CVS PHARMACY #7782,ATHENS,MADISON,8895 US HIGHWAY 29 SOUTH,HULL,GA,30,Pharmacy/Drugstore,(706) 546-9245,"8895 US HIGHWAY 29 SOUTH, HULL, GA","8895 US HIGHWAY 29 SOUTH, HULL, GA",-83.31458100000,34.03142060000,"8895 us-29, hull, ga 30646, usa",13,195,01688004,13195,Madison,Madison County,06,H1,G4020,,12020,,A,731184761.00000000000,8484186.00000000000,+34.1284838,-083.2036440
343,1,342,CVS PHARMACY #7783,BRUNSWICK,BRYAN,2324 US HIGHWAY 17,RICHMOND HILL,GA,31,Pharmacy/Drugstore,(912) 756-2531,"2324 US HIGHWAY 17, RICHMOND HILL, GA","2324 US HIGHWAY 17, RICHMOND HILL, GA",-81.31316490000,31.94995620000,"2324 us-17, richmond hill, ga 31324, usa",13,029,00350496,13029,Bryan,Bryan County,06,H1,G4020,496,42340,,A,1129165098.00000000000,47870064.00000000000,+32.0179692,-081.4385431
344,1,343,CVS PHARMACY #7885,ROME,CATOOSA,4825 BATTLEFIELD PARKWAY,RINGGOLD,GA,30,Pharmacy/Drugstore,(706) 866-9278,"4825 BATTLEFIELD PARKWAY, RINGGOLD, GA","4825 BATTLEFIELD PARKWAY, RINGGOLD, GA",-85.18315060000,34.93293030000,"4825 battlefield pkwy, ringgold, ga 30736, usa",13,047,00353230,13047,Catoosa,Catoosa County,06,H1,G4020,174,16860,,A,419999394.00000000000,771159.00000000000,+34.8993926,-085.1373531
345,1,344,CVS PHARMACY #7888,DALTON,CHEROKEE,6120 HICKORY FLAT HIGHWAY,CANTON,GA,30,Pharmacy/Drugstore,(770) 720-0610,"6120 HICKORY FLAT HIGHWAY, CANTON, GA","6120 HICKORY FLAT HIGHWAY, CANTON, GA",-84.42001580000,34.17586210000,"6120 hickory flat hwy, canton, ga 30115, usa",13,057,01685718,13057,Cherokee,Cherokee County,06,H1,G4020,122,12060,,A,1092141193.00000000000,32963099.00000000000,+34.2443166,-084.4750574
346,1,345,CVS PHARMACY #7893,GWINNETT,GWINNETT,"1960 MAIN STREET EAST, SU",SNELLVILLE,GA,30,Pharmacy/Drugstore,(770) 972-4448,"1960 MAIN STREET EAST, SU, SNELLVILLE, GA","1960 MAIN STREET EAST, SU, SNELLVILLE, GA",-83.99474800000,33.85565860000,"1960 main st e suite b, snellville, ga 30078, usa",13,135,01688166,13135,Gwinnett,Gwinnett County,06,H1,G4020,122,12060,,A,1114861845.00000000000,16381091.00000000000,+33.9590988,-084.0229486
347,1,346,CVS PHARMACY #79,LAGRANGE,HENRY,2098 HIGHWAY 20 WEST,MCDONOUGH,GA,30,Pharmacy/Drugstore,(770) 898-7356,"2098 HIGHWAY 20 WEST, MCDONOUGH, GA","2098 HIGHWAY 20 WEST, MCDONOUGH, GA",-84.19913930000,33.41357270000,"2098 ga-20, mcdonough, ga 30253, usa",13,151,01671894,13151,Henry,Henry County,06,H1,G4020,122,12060,,A,834398851.00000000000,11353184.00000000000,+33.4528811,-084.1544404
348,1,347,CVS PHARMACY #792,GAINESVILLE,HALL,4050 WINDER HIGHWAY,FLOWERY BRANCH,GA,30,Pharmacy/Drugstore,(770) 965-1979,"4050 WINDER HIGHWAY, FLOWERY BRANCH, GA","4050 WINDER HIGHWAY, FLOWERY BRANCH, GA",-83.85947910000,34.19367160000,"4050 winder hwy, flowery branch, ga 30542, usa",13,139,01686953,13139,Hall,Hall County,06,H1,G4020,122,23580,,A,1017305163.00000000000,94563088.00000000000,+34.3175876,-083.8184973
349,1,348,CVS PHARMACY #7974,FULTON,FULTON,7355 ROSWELL ROAD,ATLANTA,GA,30,Pharmacy/Drugstore,(678) 579-9792,"7355 ROSWELL ROAD, ATLANTA, GA","7355 ROSWELL ROAD, ATLANTA, GA",-84.36399620000,33.95600230000,"7355 roswell rd, sandy springs, ga 30328, usa",13,121,01694833,13121,Fulton,Fulton County,06,H1,G4020,122,12060,,A,1364064364.00000000000,19824081.00000000000,+33.7900338,-084.4681816
350,1,349,CVS PHARMACY #8395,LAGRANGE,HENRY,2720 HIGHWAY 42 NORTH,MCDONOUGH,GA,30,Pharmacy/Drugstore,(678) 432-9450,"2720 HIGHWAY 42 NORTH, MCDONOUGH, GA","2720 HIGHWAY 42 NORTH, MCDONOUGH, GA",-84.19011910000,33.51809170000,"2720 ga-42, mcdonough, ga 30253, usa",13,151,01671894,13151,Henry,Henry County,06,H1,G4020,122,12060,,A,834398851.00000000000,11353184.00000000000,+33.4528811,-084.1544404
351,1,350,CVS PHARMACY #8418,GWINNETT,NEWTON,10267 HIGHWAY 36,COVINGTON,GA,30,Pharmacy/Drugstore,(770) 788-9430,"10267 HIGHWAY 36, COVINGTON, GA","10267 HIGHWAY 36, COVINGTON, GA",-83.84870990000,33.57009830000,"10267 ga-36, covington, ga 30014, usa",13,217,01673547,13217,Newton,Newton County,06,H1,G4020,122,12060,,A,704988572.00000000000,18130683.00000000000,+33.5440649,-083.8551921
352,1,351,CVS PHARMACY #8419,GWINNETT,NEWTON,4192 SALEM ROAD,COVINGTON,GA,30,Pharmacy/Drugstore,(770) 788-2026,"4192 SALEM ROAD, COVINGTON, GA","4192 SALEM ROAD, COVINGTON, GA",-83.96342910000,33.57905280000,"4192 salem rd, covington, ga 30016, usa",13,217,01673547,13217,Newton,Newton County,06,H1,G4020,122,12060,,A,704988572.00000000000,18130683.00000000000,+33.5440649,-083.8551921
353,1,352,CVS PHARMACY #8424,ATHENS,GREENE,6201 LAKE OCONEE PARKWAY,GREENSBORO,GA,30,Pharmacy/Drugstore,(706) 453-9094,"6201 LAKE OCONEE PARKWAY, GREENSBORO, GA","6201 LAKE OCONEE PARKWAY, GREENSBORO, GA",-83.24399310000,33.45912490000,"6201 lake oconee pkwy, greensboro, ga 30642, usa",13,133,00348672,13133,Greene,Greene County,06,H1,G4020,,,,A,1003451792.00000000000,48629720.00000000000,+33.5768191,-083.1671025
354,1,353,CVS PHARMACY #8907,LAGRANGE,COWETA,395 JACKSON STREET,NEWNAN,GA,30,Pharmacy/Drugstore,(770) 251-3857,"395 JACKSON STREET, NEWNAN, GA","395 JACKSON STREET, NEWNAN, GA",-84.79624740000,33.39825450000,"395 jackson st, newnan, ga 30263, usa",13,077,00326666,13077,Coweta,Coweta County,06,H1,G4020,122,12060,,A,1141929899.00000000000,12730333.00000000000,+33.3528965,-084.7621381
355,1,354,CVS PHARMACY #8934,LAGRANGE,HENRY,1870 HIGHWAY 81 EAST,MCDONOUGH,GA,30,Pharmacy/Drugstore,(678) 583-0097,"1870 HIGHWAY 81 EAST, MCDONOUGH, GA","1870 HIGHWAY 81 EAST, MCDONOUGH, GA",-84.09130220000,33.42787100000,"1870 hwy 81, mcdonough, ga 30252, usa",13,151,01671894,13151,Henry,Henry County,06,H1,G4020,122,12060,,A,834398851.00000000000,11353184.00000000000,+33.4528811,-084.1544404
356,1,355,CVS PHARMACY #8960,AUGUSTA,COLUMBIA,5101 WASHINGTON ROAD,EVANS,GA,30,Pharmacy/Drugstore,(706) 650-0911,"5101 WASHINGTON ROAD, EVANS, GA","5101 WASHINGTON ROAD, EVANS, GA",-82.19238250000,33.57201890000,"5101 washington rd, evans, ga 30809, usa",13,073,00348865,13073,Columbia,Columbia County,06,H1,G4020,,12260,,A,751319916.00000000000,45368325.00000000000,+33.5505513,-082.2513613
357,1,356,CVS PHARMACY #8976,ROME,BARTOW,965 JOE FRANK HARRIS PARK,CARTERSVILLE,GA,30,Pharmacy/Drugstore,(678) 721-1090,"965 JOE FRANK HARRIS PARK, CARTERSVILLE, GA","965 JOE FRANK HARRIS PARK, CARTERSVILLE, GA",-84.79477980000,34.19875980000,"965 joe frank harris pkwy se, cartersville, ga 30120, usa",13,015,00351604,13015,Bartow,Bartow County,06,H1,G4020,122,12060,,A,1190219094.00000000000,27368340.00000000000,+34.2409175,-084.8381879
358,1,357,CVS PHARMACY #945,AUGUSTA,COLUMBIA,1044 FURYS FERRY ROAD,EVANS,GA,30,Pharmacy/Drugstore,(706) 860-3945,"1044 FURYS FERRY ROAD, EVANS, GA","1044 FURYS FERRY ROAD, EVANS, GA",-82.11686990000,33.56848050000,"1044 furys ferry rd, evans, ga 30809, usa",13,073,00348865,13073,Columbia,Columbia County,06,H1,G4020,,12260,,A,751319916.00000000000,45368325.00000000000,+33.5505513,-082.2513613
359,1,358,CVS PHARMACY #962,LAGRANGE,COWETA,1035 LOWER FAYETTEVILLE R,NEWNAN,GA,30,Pharmacy/Drugstore,(678) 423-8891,"1035 LOWER FAYETTEVILLE R, NEWNAN, GA","1035 LOWER FAYETTEVILLE R, NEWNAN, GA",-84.75478750000,33.37453170000,"1035 lower fayetteville rd, newnan, ga 30265, usa",13,077,00326666,13077,Coweta,Coweta County,06,H1,G4020,122,12060,,A,1141929899.00000000000,12730333.00000000000,+33.3528965,-084.7621381
360,1,359,DILL'S FOOD CITY,GAINESVILLE,FRANKLIN,721 COOK STREET,ROYSTON,GA,30,Supermarket,(706) 245-6400,"721 COOK STREET, ROYSTON, GA","721 COOK STREET, ROYSTON, GA",-83.12249040000,34.28329610000,"721 cook st, royston, ga 30662, usa",13,119,00349324,13119,Franklin,Franklin County,06,H1,G4020,,,,A,677301787.00000000000,12803554.00000000000,+34.3751554,-083.2272905
361,1,360,DILL'S FOOD CITY OF LAVONIA,GAINESVILLE,FRANKLIN,12260 AUGUSTA ROAD,LAVONIA,GA,30,Supermarket,(706) 356-8443,"12260 AUGUSTA ROAD, LAVONIA, GA","12260 AUGUSTA ROAD, LAVONIA, GA",-83.10618190000,34.42953330000,"12260 augusta rd, lavonia, ga 30553, usa",13,119,00349324,13119,Franklin,Franklin County,06,H1,G4020,,,,A,677301787.00000000000,12803554.00000000000,+34.3751554,-083.2272905
362,1,361,DILL'S GALAXY FOODS,GAINESVILLE,TOWNS,236 NORTH MAIN STREET,HIAWASSEE,GA,30,Supermarket,(706) 896-4871,"236 NORTH MAIN STREET, HIAWASSEE, GA","236 NORTH MAIN STREET, HIAWASSEE, GA",-83.75877170000,34.95155990000,"236 n main st, hiawassee, ga 30546, usa",13,281,00351252,13281,Towns,Towns County,06,H1,G4020,,,,A,431395515.00000000000,14037940.00000000000,+34.9026623,-083.7322155
363,1,362,DILLARD PIGGLY WIGGLY #323,GAINESVILLE,RABUN,"7110 HIGHWAY 441 NORTH, S",DILLARD,GA,30,Supermarket,(706) 746-2624,"7110 HIGHWAY 441 NORTH, S, DILLARD, GA","7110 HIGHWAY 441 NORTH, S, DILLARD, GA",-83.38256980000,34.97741200000,"7110 us-441, dillard, ga 30537, usa",13,241,00351489,13241,Rabun,Rabun County,06,H1,G4020,,,,A,958280750.00000000000,17841169.00000000000,+34.8830262,-083.4047353
364,1,363,DOCTOR'S PHARMACY-VITAL CARE,COLUMBUS,SUMTER,"611 EAST LAMAR STREET, SU",AMERICUS,GA,31,Pharmacy/Drugstore,(229) 928-9010,"611 EAST LAMAR STREET, SU, AMERICUS, GA","611 EAST LAMAR STREET, SU, AMERICUS, GA",-84.22500920000,32.07127530000,"611 e lamar st, americus, ga 31709, usa",13,261,00343504,13261,Sumter,Sumter County,06,H1,G4020,,11140,,A,1250175754.00000000000,25791648.00000000000,+32.0421974,-084.2042590
365,1,364,DUBLIN PIGGLY WIGGLY #186,DUBLIN,LAURENS,508 BELLEVUE AVENUE,DUBLIN,GA,31,Supermarket,(478) 275-0231,"508 BELLEVUE AVENUE, DUBLIN, GA","508 BELLEVUE AVENUE, DUBLIN, GA",-82.91023370000,32.53738170000,"508 bellevue ave, dublin, ga 31021, usa",13,175,00346568,13175,Laurens,Laurens County,06,H1,G4020,,20140,,A,2090902617.00000000000,28925882.00000000000,+32.3932197,-082.9263171
366,1,365,EAGLE FOODS,COLUMBUS,MARION,1062 GA HIGHWAY 41 NORTH,BUENA VISTA,GA,31,Supermarket,(229) 649-5252,"1062 GA HIGHWAY 41 NORTH, BUENA VISTA, GA","1062 GA HIGHWAY 41 NORTH, BUENA VISTA, GA",-84.52930580000,32.33428870000,"1062 ga-41, buena vista, ga 31803, usa",13,197,00344107,13197,Marion,Marion County,06,H1,G4020,194,17980,,A,947978202.00000000000,3791370.00000000000,+32.3595381,-084.5295606
367,1,366,FAIRMOUNT GROCERY LLC,ROME,GORDON,2386 HIGHWAY 411,FAIRMOUNT,GA,30,Supermarket,(706) 337-5383,"2386 HIGHWAY 411, FAIRMOUNT, GA","2386 HIGHWAY 411, FAIRMOUNT, GA",-84.70027700000,34.44302600000,"2386 us-411, fairmount, ga 30139, usa",13,129,00356672,13129,Gordon,Gordon County,06,H1,G4020,,15660,,A,921538858.00000000000,5787657.00000000000,+34.5096669,-084.8738622
368,1,367,FELTON'S RED & WHITE,COLUMBUS,MACON,112 CAMELLIA BOULEVARD,MARSHALLVILLE,GA,31,Small Grocery Store,(478) 967-2434,"112 CAMELLIA BOULEVARD, MARSHALLVILLE, GA","112 CAMELLIA BOULEVARD, MARSHALLVILLE, GA",-83.94124990000,32.45756780000,"112 camellia blvd, marshallville, ga 31057, usa",13,193,00346957,13193,Macon,Macon County,06,H1,G4020,,,,A,1037654095.00000000000,13859174.00000000000,+32.3662155,-084.0521624
369,1,368,FOOD CITY #206,ROME,WALKER,319 CHICKAMAUGA AVENUE,ROSSVILLE,GA,30,Supermarket,(706) 866-1633,"319 CHICKAMAUGA AVENUE, ROSSVILLE, GA","319 CHICKAMAUGA AVENUE, ROSSVILLE, GA",-85.28501850000,34.98211200000,"319 chickamauga ave, rossville, ga 30741, usa",13,295,00354216,13295,Walker,Walker County,06,H1,G4020,174,16860,,A,1156146497.00000000000,1672677.00000000000,+34.7358269,-085.3053852
370,1,369,FOOD CITY #230,DALTON,MURRAY,502 G. I MADDOX PARKWAY,CHATSWORTH,GA,30,Supermarket,(706) 517-5006,"502 G. I MADDOX PARKWAY, CHATSWORTH, GA","502 G. I MADDOX PARKWAY, CHATSWORTH, GA",-84.77316930000,34.78409470000,"502 g i maddox pkwy, chatsworth, ga 30705, usa",13,213,01688005,13213,Murray,Murray County,06,H1,G4020,,19140,,A,892278045.00000000000,5719621.00000000000,+34.7970974,-084.7379899
371,1,370,FOOD CITY #233,ROME,DADE,112 CRIMSON DRIVE,TRENTON,GA,30,Supermarket,(706) 657-2199,"112 CRIMSON DRIVE, TRENTON, GA","112 CRIMSON DRIVE, TRENTON, GA",-85.51833410000,34.86754570000,"112 crimson dr, rising fawn, ga 30738, usa",13,083,00347465,13083,Dade,Dade County,06,H1,G4020,174,16860,,A,450605025.00000000000,467844.00000000000,+34.8524237,-085.5062006
372,1,371,FOOD CITY #239,DALTON,WHITFIELD,1287 NORTH GLENWOOD AVENU,DALTON,GA,30,Supermarket,(706) 259-6421,"1287 NORTH GLENWOOD AVENU, DALTON, GA","1287 NORTH GLENWOOD AVENU, DALTON, GA",-84.96399820000,34.79608870000,"1287 n glenwood ave, dalton, ga 30721, usa",13,313,00353513,13313,Whitfield,Whitfield County,06,H1,G4020,,19140,,A,752293162.00000000000,1534098.00000000000,+34.8017261,-084.9685410
373,1,372,FOOD CITY #249,ROME,CATOOSA,531 BATTLEFIELD PARKWAY,FORT OGLETHORPE,GA,30,Supermarket,(706) 861-8070,"531 BATTLEFIELD PARKWAY, FORT OGLETHORPE, GA","531 BATTLEFIELD PARKWAY, FORT OGLETHORPE, GA",-85.25656200000,34.95557390000,"531 battlefield pkwy, fort oglethorpe, ga 30742, usa",13,047,00353230,13047,Catoosa,Catoosa County,06,H1,G4020,174,16860,,A,419999394.00000000000,771159.00000000000,+34.8993926,-085.1373531
374,1,373,FOOD CITY #252,ROME,WALKER,311 NORTH MAIN STREET,LAFAYETTE,GA,30,Supermarket,(706) 638-7780,"311 NORTH MAIN STREET, LAFAYETTE, GA","311 NORTH MAIN STREET, LAFAYETTE, GA",-85.28280100000,34.70991500000,"311 n main st, lafayette, ga 30728, usa",13,295,00354216,13295,Walker,Walker County,06,H1,G4020,174,16860,,A,1156146497.00000000000,1672677.00000000000,+34.7358269,-085.3053852
375,1,374,FOOD CITY #716,WAYCROSS,APPLING,3801 TENNESSEE AVENUE,CHATTANOOGA,TN,37,Supermarket,(423) 821-0023,"3801 TENNESSEE AVENUE, CHATTANOOGA, TN","3801 TENNESSEE AVENUE, CHATTANOOGA, TN",-85.32651550000,35.01006450000,"3801 tennessee ave, chattanooga, tn 37409, usa",47,065,01639749,47065,Hamilton,Hamilton County,06,H1,G4020,174,16860,,A,1404892802.00000000000,86630798.00000000000,+35.1591860,-085.2022955
376,1,375,FOOD CITY #773,WAYCROSS,APPLING,1667 OOLTEWAH-RINGGOLD,OOLTEWAH,TN,37,Supermarket,(423) 893-6160,"1667 OOLTEWAH-RINGGOLD, OOLTEWAH, TN","1667 OOLTEWAH-RINGGOLD, OOLTEWAH, TN",-85.09686860000,34.99803820000,"1667 ooltewah ringgold rd, ooltewah, tn 37363, usa",47,065,01639749,47065,Hamilton,Hamilton County,06,H1,G4020,174,16860,,A,1404892802.00000000000,86630798.00000000000,+35.1591860,-085.2022955
