Agency,id,Address,City,State,Zip,full_add,lon,lat,type,loctype,neighborhood,locality,administrative_area_level_2
"Leap 2 Grow, Inc - Leapfrog Academy",P354,6400 Shannon Parkway,Union City,GA,30291,"6400 Shannon Parkway, City, GA  30291",-84.5406071,33.5789319,premise,rooftop,NA,Union City,Fulton County
Greater Community Church of God in Christ,P280,406 Roswell Street,Marietta,GA,30065,"406 Roswell Street, City, GA  30065",-84.5402771,33.9500734,street_address,rooftop,NA,Marietta,Cobb County
MUST Ministries Smyrna Program Services,P003,460 Pat Mell Rd SE,Smyrna,GA,30080,"460 Pat Mell Rd SE, City, GA  30080",-84.5397063,33.9017617,premise,rooftop,NA,Smyrna,Cobb County
Turner Hill Community Development,P655,527 Lawrence Street,Marietta,GA,30060,"527 Lawrence Street, City, GA  30060",-84.5368603,33.9533047,premise,rooftop,NA,Marietta,Cobb County
Anointed Living in Victory Empowered Christian Cen,P032,102 S Fairground St SE,Marietta,GA,30060,"102 S Fairground St SE, City, GA  30060",-84.5364303,33.9493121,street_address,rooftop,NA,Marietta,Cobb County
First Christian Church of Marietta,P225,569 Frasier Street,Marietta,GA,30060,"569 Frasier Street, City, GA  30060",-84.5361027,33.9473868,premise,rooftop,NA,Marietta,Cobb County
Storehouse Ministries,P600,1348 Canton Road,Marietta,GA,30066,"1348 Canton Road, City, GA  30066",-84.5360253,33.9837796,street_address,range_interpolated,NA,Marietta,Cobb County
Green Acres Elementary,P285,2000 Gober Ave SE,Smyrna,GA,30080,"2000 Gober Ave SE, City, GA  30080",-84.5357342,33.904497,premise,rooftop,NA,Smyrna,Cobb County
Kingdom of Christ Church Ministries Inc.,P345,4485 Fulton Industrial Blvd Sw,Atlanta,GA,30336,"4485 Fulton Industrial Blvd Sw, City, GA  30336",-84.5352428,33.7635957,premise,rooftop,NA,Atlanta,Fulton County
Providence Community Baptist Church,P498,38 Austin Avenue,Marietta,GA,30060,"38 Austin Avenue, City, GA  30060",-84.5328074,33.9517066,street_address,rooftop,NA,Marietta,Cobb County
Jubilee Church of Atlanta Inc.,P338,260 Parkway 575,Woodstock,GA,30188,"260 Parkway 575, City, GA  30188",-84.5305332,34.0886922,premise,rooftop,NA,Woodstock,Cherokee County
Shiloh Seventh Day Adventist Church,P565,810 Church Street,Smyrna,GA,30080,"810 Church Street, City, GA  30080",-84.529796,33.880117,premise,rooftop,NA,Smyrna,Cobb County
Never Alone Inc,P419,291 Rope Mill Road,Woodstock,GA,30188,"291 Rope Mill Road, City, GA  30188",-84.5292431,34.1156662,premise,rooftop,NA,Woodstock,Cherokee County
Sheltering Grace Ministry Ltd.,P564,797 Roswell Street,Marietta,GA,30060,"797 Roswell Street, City, GA  30060",-84.5288611,33.951043,street_address,rooftop,NA,Marietta,Cobb County
Grace Community Fellowship Church,P276,4215 Wendell Drive / Suites E & F,Atlanta,GA,30336,"4215 Wendell Drive / Suites E & F, City, GA  30336",-84.5251071,33.769502,church,rooftop,NA,Atlanta,Fulton County
Ben Hill - Tri-Cities Food Co-op - Jesus Place ICM,P051,4099 Sunset Drive,Atlanta,GA,30331,"4099 Sunset Drive, City, GA  30331",-84.5231778,33.6982321,street_address,rooftop,Ben Hill Terrace,Atlanta,Fulton County
"Center for Family Resources, Inc.",P088,995 Roswell Street NE Suite 100,Marietta,GA,30060,"995 Roswell Street NE Suite 100, City, GA  30060",-84.52312,33.951718,subpremise,rooftop,NA,Marietta,Cobb County
Sheltering Arms-Marietta,P563,995 Roswell Street,Marietta,GA,30060,"995 Roswell Street, City, GA  30060",-84.52312,33.951718,premise,rooftop,NA,Marietta,Cobb County
Life Learning Community Center,P358,1083 Allgood Road,Marietta,GA,30062,"1083 Allgood Road, City, GA  30062",-84.5227253,33.9781083,street_address,rooftop,NA,Marietta,Cobb County
SVDP St. Thomas,P608,4300 King Springs Road,Smyrna,GA,30080,"4300 King Springs Road, City, GA  30080",-84.5218093,33.8492928,premise,rooftop,NA,Smyrna,Cobb County
"Quality Living Services, INC",P501,"4001 Danforth Rd., SW",Atlanta,GA,30331,"4001 Danforth Rd., SW, City, GA  30331",-84.5196383,33.726651,premise,rooftop,NA,Atlanta,Fulton County
American Legion Post 160,P028,160 Legion Drive,Smyrna,GA,30080,"160 Legion Drive, City, GA  30080",-84.5184914,33.8763994,premise,rooftop,NA,Smyrna,Cobb County
Second Chance For Success,P554,"1184 Concord Rd. SE, STE 5",Smyrna,GA,30080,"1184 Concord Rd. SE, STE 5, City, GA  30080",-84.5183685,33.876959,subpremise,rooftop,NA,Smyrna,Cobb County
Christian City Home for Children,P103,7501 Red Oak Rd,Union City,GA,30291,"7501 Red Oak Rd, City, GA  30291",-84.514729,33.5555811,street_address,rooftop,NA,Union City,Fulton County
Agape Behavioral Healthcare,P021,3830 Old Gordon Rd,Atlanta,GA,30336,"3830 Old Gordon Rd, City, GA  30336",-84.5143186,33.7697298,street_address,rooftop,Old Gordon,Atlanta,Fulton County
Adamsville Elementary,P018,"286 Wilson Mill Rd., SW",Atlanta,GA,30331-4199,"286 Wilson Mill Rd., SW, City, GA  30331-4199",-84.5135756,33.7546728,premise,rooftop,Wisteria Gardens,Atlanta,Fulton County
"Leap 2 Grow, Inc - Leapfrog Early Learning Academy",P355,3740 Flat Shoals Road,Union City,GA,30291,"3740 Flat Shoals Road, City, GA  30291",-84.5116912,33.5836716,premise,rooftop,NA,Union City,Fulton County
Dorthy Helping Hands,P180,3724 Martin Luther King Jr. Dr. SW,Atlanta,GA,30331,"3724 Martin Luther King Jr. Dr. SW, City, GA  30331",-84.5107899,33.7638614,premise,rooftop,Adamsville,Atlanta,Fulton County
Ben Hill United Methodist Church,P052,2099 Fairburn Road SW,Atlanta,GA,30331,"2099 Fairburn Road SW, City, GA  30331",-84.5103802,33.6979413,premise,rooftop,NA,Atlanta,Fulton County
Dorothy's Helping Hands Inc,P179,2685 Barge Road,Atlanta,GA,30331,"2685 Barge Road, City, GA  30331",-84.5066724,33.6810764,premise,rooftop,Ben Hill Pines,Atlanta,Fulton County
Adamsville Green Senior Apartments,P019,3537 Martin Luther King Jr. Dr.,Atlanta,GA,30331,"3537 Martin Luther King Jr. Dr., City, GA  30331",-84.5025957,33.7589718,premise,rooftop,Adamsville,Atlanta,Fulton County
New City Church Fairburn-City Bridges Food Pantry,P423,3355 Old Jonesboro Road,Fairburn,GA,30213,"3355 Old Jonesboro Road, City, GA  30213",-84.5019782,33.5540752,street_address,rooftop,NA,Fairburn,Fulton County
"S.R.T.,INC.",P535,534 Fairburn Road,Atlanta,GA,30331,"534 Fairburn Road, City, GA  30331",-84.501327,33.770332,street_address,rooftop,Fairburn Heights,Atlanta,Fulton County
Fain Elementary,P201,101 Hemphill School rd NW,Atlanta,GA,30331,"101 Hemphill School rd NW, City, GA  30331",-84.5005941,33.7588249,street_address,rooftop,Oakcliff,Atlanta,Fulton County
Greater St. Stephen Ministries  dba Changing SW,P283,3350 Greenbriar Pkwy SW,Atlanta,GA,30331,"3350 Greenbriar Pkwy SW, City, GA  30331",-84.4988669,33.6832774,premise,rooftop,Greenbriar,Atlanta,Fulton County
Harper-Archer Middle,P292,"3399 Collier Dr, NW",Atlanta,GA,30331,"3399 Collier Dr, NW, City, GA  30331",-84.4987545,33.7695811,street_address,rooftop,Fairburn Heights,Atlanta,Fulton County
"Carrie Steele-Pitts Home, Inc.",P079,"667 Fairburn Road, NW",Atlanta,GA,30331,"667 Fairburn Road, NW, City, GA  30331",-84.4981703,33.7721766,premise,rooftop,Fairburn Heights,Atlanta,Fulton County
Ashbury Harris Epworth Towers,P038,3033 Continental Colony Parkway  SW,Atlanta,GA,30331,"3033 Continental Colony Parkway  SW, City, GA  30331",-84.494892,33.6827088,premise,rooftop,Greenbriar,Atlanta,Fulton County
"Concerned Citizens of Atlanta, Inc.",P139,3201 M.L.K. Jr Dr SW,Atlanta,GA,30311,"3201 M.L.K. Jr Dr SW, City, GA  30311",-84.4918471,33.7541215,street_address,rooftop,NA,Atlanta,Fulton County
Keepers Movement Inc. DBA K.E.P.T OUTREACH MIN.,P341,4504 Wasington Rd,College Park,GA,30349,"4504 Wasington Rd, City, GA  30349",-84.4916945,33.6331592,street_address,rooftop,NA,Atlanta,Fulton County
Cascade United Methodist Church,P083,3144 Cascade Road SW,Atlanta,GA,30311,"3144 Cascade Road SW, City, GA  30311",-84.4914906,33.7195239,premise,rooftop,Cascade Heights,Atlanta,Fulton County
Life Tools Community Development Corp.-Atlanta,P360,4330 Washington Rd,Atlanta,GA,30344,"4330 Washington Rd, City, GA  30344",-84.4911674,33.6379685,street_address,rooftop,NA,Atlanta,Fulton County
Emma's Place Inc.,P193,4790 Yates Rd,College Park,GA,30337,"4790 Yates Rd, City, GA  30337",-84.4871049,33.6262591,premise,rooftop,NA,College Park,Fulton County
Coretta Scott King Academy,P146,"1190 Northwest Dr, NW",Atlanta,GA,30318,"1190 Northwest Dr, NW, City, GA  30318",-84.4828304,33.790332,street_address,rooftop,Brookview Heights,Atlanta,Fulton County
"Landing Tracts for Advanced Living, Inc.",P350,2865 Donald Lee Hollowell Pkwy NW,Atlanta,GA,30318,"2865 Donald Lee Hollowell Pkwy NW, City, GA  30318",-84.4813673,33.7810858,premise,rooftop,Brookview Heights,Atlanta,Fulton County
Rainbow Housing at Seven Courts,P509,2800 Martin Luther King Blvd. SW,Atlanta,GA,30311,"2800 Martin Luther King Blvd. SW, City, GA  30311",-84.478873,33.753839,street_address,rooftop,Harland Terrace,Atlanta,Fulton County
St Paul's Outreach Center-Food Pantry,P585,365 Peyton Rd.,Atlanta,GA,30311,"365 Peyton Rd., City, GA  30311",-84.4787234,33.7462673,premise,rooftop,Peyton Forest,Atlanta,Fulton County
Synergy Test Agency,P613,new test phys 2,Social Circle,GA,30312,"new test phys 2, City, GA  30312",-84.4778699,33.8597582,establishment,rooftop,Cumberland,Atlanta,Cobb County
Gods Promise Ministries/Avalon Park Apt.,P270,2798 Peek Rd NW,Atlanta,GA,30318,"2798 Peek Rd NW, City, GA  30318",-84.4775414,33.7762993,street_address,rooftop,Collier Heights,Atlanta,Fulton County
A. D. Williams Elementary,P006,1065 Wilkes Cir NW,Atlanta,GA,30318,"1065 Wilkes Cir NW, City, GA  30318",-84.4773802,33.7851697,street_address,rooftop,Brookview Heights,Atlanta,Fulton County
Travelers' Aid of Metro Inc.,P649,180 Peyton Place SW,Atlanta,GA,30311,"180 Peyton Place SW, City, GA  30311",-84.4748703,33.7495579,street_address,rooftop,Harland Terrace,Atlanta,Fulton County
St. Michael the Archangel,P590,490 Arnold Mill Road,Woodstock,GA,30188,"490 Arnold Mill Road, City, GA  30188",-84.4730854,34.1170594,street_address,rooftop,NA,Woodstock,Cherokee County
Scott Elementary,P551,1752 Hollywood Rd,Atlanta,GA,30318,"1752 Hollywood Rd, City, GA  30318",-84.471701,33.803378,street_address,rooftop,Scotts Crossing,Atlanta,Fulton County
World Changers Church International,P688,2500 Burdette Road,College Park,GA,30349,"2500 Burdette Road, City, GA  30349",-84.4715311,33.5943139,street_address,rooftop,NA,College Park,Fulton County
Heart of Christ Church Inc.,P295,2459 Roosevelt Hwy,College Park,GA,30337,"2459 Roosevelt Hwy, City, GA  30337",-84.470921,33.631623,street_address,rooftop,NA,Atlanta,Fulton County
New Life Presbyterian-Inez Wagner Food,P436,6600 Old National Highway,College Park,GA,30349,"6600 Old National Highway, City, GA  30349",-84.4698893,33.574751,premise,rooftop,NA,Atlanta,Fulton County
Berean Seventh-day Adventist Church,P054,291 Hamilton E. Holmes Drive NW,Atlanta,GA,30318,"291 Hamilton E. Holmes Drive NW, City, GA  30318",-84.469533,33.763029,street_address,rooftop,Center Hill,Atlanta,Fulton County
Frederick Douglas High,P248,"225 Hamilton E Holmes Dr, NW",Atlanta,GA,30318,"225 Hamilton E Holmes Dr, NW, City, GA  30318",-84.4694881,33.7607365,street_address,rooftop,Center Hill,Atlanta,Fulton County
Collins Memorial UMC,P122,2220 Bolton Road,Atlanta,GA,30318,"2220 Bolton Road, City, GA  30318",-84.465951,33.8164128,street_address,rooftop,Bolton,Atlanta,Fulton County
Its Your Health Inc.,P329,2295 Benjamin E Mays Dr SW,Atlanta,GA,30311,"2295 Benjamin E Mays Dr SW, City, GA  30311",-84.4637467,33.723213,street_address,rooftop,Cascade Road,Atlanta,Fulton County
Providence Missionary Baptist Church,P500,"2295 Benjamin E. Mays Dr., SW",Atlanta,GA,30311,"2295 Benjamin E. Mays Dr., SW, City, GA  30311",-84.4637467,33.723213,street_address,rooftop,Cascade Road,Atlanta,Fulton County
Sunshine Community Brotherhood Foundation-Atlanta,P603,2283 Baker Rd NW,Atlanta,GA,30318,"2283 Baker Rd NW, City, GA  30318",-84.4629194,33.7704285,premise,rooftop,Center Hill,Atlanta,Fulton County
Metro YMCA SW Branch,P390,2220 Campbellton Rd. SW,Atlanta,GA,30311,"2220 Campbellton Rd. SW, City, GA  30311",-84.4616483,33.7044344,premise,rooftop,Campbellton Road,Atlanta,Fulton County
Families United Services,P210,500 West Lanier Avenue,Fayetteville,GA,30214,"500 West Lanier Avenue, City, GA  30214",-84.4616073,33.4455921,premise,rooftop,NA,Fayetteville,Fayette County
Timothy Lutheran Ch-Timothy's Cupboard,P645,556 Arnold Mill Road,Woodstock,GA,30188,"556 Arnold Mill Road, City, GA  30188",-84.4598415,34.1149384,street_address,rooftop,NA,Woodstock,Cherokee County
Timothy Lutheran-Cartersville pickup,P646,556 Arnold Mill Road,Woodstock,GA,30188,"556 Arnold Mill Road, City, GA  30188",-84.4598415,34.1149384,street_address,rooftop,NA,Woodstock,Cherokee County
Gate City Day Nursery Assoc- Campbellton,P256,2035 Campbellton Rd SW,Atlanta,GA,30311,"2035 Campbellton Rd SW, City, GA  30311",-84.4553745,33.7075929,premise,rooftop,Venetian Hills,Atlanta,Fulton County
Veronica Mounts Ministry-Land Of Promise,P665,2075 Princeton Avenue,College Park,GA,30337,"2075 Princeton Avenue, City, GA  30337",-84.4553554,33.6546152,street_address,range_interpolated,NA,College Park,Fulton County
Gate City Day Nursery Assoc.-Cascade,P257,2080 Cascade RD SW,Atlanta,GA,30311,"2080 Cascade RD SW, City, GA  30311",-84.4552515,33.7210391,premise,rooftop,Adams Park,Atlanta,Fulton County
Making A Way Housing Inc.,P381,377 Westchester Blvd.,Atlanta,GA,30314,"377 Westchester Blvd., City, GA  30314",-84.4528936,33.7656064,premise,rooftop,Grove Park,Atlanta,Fulton County
Favor House Inc.,P216,1926 John Calvin Ave,College Park,GA,30337,"1926 John Calvin Ave, City, GA  30337",-84.4521964,33.6579147,premise,rooftop,NA,College Park,Fulton County
Boyd Elementary,P063,1891 Johnson Rd NW,Atlanta,GA,30318,"1891 Johnson Rd NW, City, GA  30318",-84.4494955,33.7862516,street_address,rooftop,Rockdale,Atlanta,Fulton County
Providence Baptist Church S. Atlanta,P497,1773 Hawthorne Avenue,College Park,GA,30337,"1773 Hawthorne Avenue, City, GA  30337",-84.4473581,33.6573288,premise,rooftop,NA,College Park,Fulton County
KIPP Atlanta Collegiate,P346,"98 Anderson Ave, SW",Atlanta,GA,30314,"98 Anderson Ave, SW, City, GA  30314",-84.446074,33.7519897,street_address,range_interpolated,Penelope Neighbors,Atlanta,Fulton County
Metro Atlanta Urban Farm in College Park Inc.,P389,3271 Main St.,College Park,GA,30337,"3271 Main St., City, GA  30337",-84.445237,33.6668091,street_address,rooftop,NA,East Point,Fulton County
East Point Church of the Nazarene,P187,2736 Cheney Street,East Point,GA,30344,"2736 Cheney Street, City, GA  30344",-84.4448553,33.6806255,premise,rooftop,Frog Hollow,Atlanta,Fulton County
Woodson Park Academy,P681,20 Evelyn Way NW,Atlanta,GA,30318,"20 Evelyn Way NW, City, GA  30318",-84.4438706,33.7719483,street_address,rooftop,Grove Park,Atlanta,Fulton County
Woodson Park Elementary,P682,"20 Evelyn Way, NW",Atlatna,GA,30318,"20 Evelyn Way, NW, City, GA  30318",-84.4438706,33.7719483,street_address,rooftop,Grove Park,Atlanta,Fulton County
Paradise Missionary Baptist Church,P479,1711 Donald L. Hollowell Parkway,Atlanta,GA,30318,"1711 Donald L. Hollowell Parkway, City, GA  30318",-84.4435379,33.7738593,church,rooftop,Grove Park,Atlanta,Fulton County
East Point First Mallalieu UMC,P188,2651 Church Street,East Point,GA,30344,"2651 Church Street, City, GA  30344",-84.4423328,33.6830598,premise,rooftop,Frog Hollow,East Point,Fulton County
Teens at Work,P615,1622 Ware Ave.,East Point,GA,30344,"1622 Ware Ave., City, GA  30344",-84.4419842,33.681803,premise,rooftop,Downtown,Atlanta,Fulton County
"Saint Peter Ministries, Inc. - Feed the Community",P537,1558 Venetian Drive SW,Atlanta,GA,30311,"1558 Venetian Drive SW, City, GA  30311",-84.4402992,33.71421,street_address,rooftop,Venetian Hills,Atlanta,Fulton County
Ye Visited Me Ministries/ Fragments Food Pantry,P691,110 Evergreen Road,Canton,GA,30114,"110 Evergreen Road, City, GA  30114",-84.4394492,34.2830373,street_address,range_interpolated,NA,Canton,Cherokee County
Covenant House Georgia,P151,1559 Johnson Rd. NW,Atlanta,GA,30318,"1559 Johnson Rd. NW, City, GA  30318",-84.4379877,33.7882303,street_address,rooftop,Rockdale,Atlanta,Fulton County
My Sister's Keeper,P415,7431 Petunia Drive,Riverdale,GA,30296,"7431 Petunia Drive, City, GA  30296",-84.4379644,33.552895,premise,rooftop,NA,Riverdale,Clayton County
Calvary United Methodist Church,P075,"1471 Ralph D. Abernathy Blvd., SW",Atlanta,GA,30310,"1471 Ralph D. Abernathy Blvd., SW, City, GA  30310",-84.4357699,33.7418831,street_address,rooftop,Westview,Atlanta,Fulton County
Action Ministries- Feed the Hungry Newton,P011,2160 Hills Ave,Atlanta,GA,30318,"2160 Hills Ave, City, GA  30318",-84.4330147,33.8169537,street_address,rooftop,Buckhead,Atlanta,Fulton County
Action Ministries- Feed the Hungry-Douglas,P012,2160 Hills Ave Suite F,Atlanta,GA,30318,"2160 Hills Ave Suite F, City, GA  30318",-84.4330147,33.8169537,subpremise,rooftop,Buckhead,Atlanta,Fulton County
Action Ministries-Cobb,P013,2160 Hills Ave,Atlanta,GA,30318,"2160 Hills Ave, City, GA  30318",-84.4330147,33.8169537,street_address,rooftop,Buckhead,Atlanta,Fulton County
Action Ministries-Feed the Hungry,P014,2160 Hills Ave Suite F,Atlanta,GA,30318,"2160 Hills Ave Suite F, City, GA  30318",-84.4330147,33.8169537,subpremise,rooftop,Buckhead,Atlanta,Fulton County
Action Ministries-Gwinnett,P015,2160 Hills Ave,Atlanta,GA,30318,"2160 Hills Ave, City, GA  30318",-84.4330147,33.8169537,street_address,rooftop,Buckhead,Atlanta,Fulton County
"The Pathway Home Foundation, Inc-Fayette",P631,101 Kenwood Rd #50,Fayetteville,GA,30214,"101 Kenwood Rd #50, City, GA  30214",-84.4317508,33.5123525,subpremise,rooftop,NA,Fayetteville,Fayette County
Sanctified Mt. Zion Church,P548,1324 Eason Street NW,Atlanta,GA,30314,"1324 Eason Street NW, City, GA  30314",-84.4307036,33.7581257,premise,rooftop,Hunter Hills,Atlanta,Fulton County
"City of Refuge, Inc. 180 Kitchen",P111,1300 Joseph E. Boone Blvd,Atlanta,GA,30318,"1300 Joseph E. Boone Blvd, City, GA  30318",-84.4305997,33.7622814,street_address,rooftop,Hunter Hills,Atlanta,Fulton County
Atlanta Harm Reduction Coalition,P043,1233 Joseph E Boone Blvd,Atlanta,GA,30314,"1233 Joseph E Boone Blvd, City, GA  30314",-84.4282453,33.7639146,street_address,range_interpolated,Hunter Hills,Atlanta,Fulton County
Seeds of Love Foster Resources Center,P555,1249 Donald Lee Hollowell Pkwy,Atlanta,GA,30318,"1249 Donald Lee Hollowell Pkwy, City, GA  30318",-84.4281838,33.7737531,street_address,rooftop,Knight Park/Howell Station,Atlanta,Fulton County
West End SDA - WE-Serve Community Outreach,P675,1191 Donnelly Avenue,Atlanta,GA,30310,"1191 Donnelly Avenue, City, GA  30310",-84.4269908,33.7336539,premise,rooftop,West End,Atlanta,Fulton County
Gilmer Community Food Pantry,P263,5273 Hwy. 52 E,Ellijay,GA,30536,"5273 Hwy. 52 E, City, GA  30536",-84.4256984,34.6523132,premise,rooftop,NA,Ellijay,Gilmer County
Cathedral of Faith Church,P084,1137 Avon Avenue,Atlanta,GA,30310,"1137 Avon Avenue, City, GA  30310",-84.4256969,33.7226007,street_address,rooftop,Oakland City,Atlanta,Fulton County
"New Day Church of the Nazarene, Inc",P425,8561 Ga. Hwy 85,Riverdale,GA,30296,"8561 Ga. Hwy 85, City, GA  30296",-84.4253367,33.5219119,street_address,rooftop,NA,Riverdale,Clayton County
YMCA-Carl E. Sanders at Buckhead,P693,1160 Moores Mill Rd.,Atlanta,GA,30327,"1160 Moores Mill Rd., City, GA  30327",-84.424826,33.8314093,street_address,rooftop,Brandon,Atlanta,Fulton County
Community Friendship - Phoenix House,P132,1296 Murphy Ave.,Atlanta,GA,30310,"1296 Murphy Ave., City, GA  30310",-84.4234008,33.7195855,premise,rooftop,Capitol View,Atlanta,Fulton County
Sound Landing Inc,P573,"410 Temple Street NW, Apt 5",Atlanta,GA,30314,"410 Temple Street NW, Apt 5, City, GA  30314",-84.422293,33.7657087,subpremise,rooftop,Bankhead,Atlanta,Fulton County
M. Agnes Jones Elementary,P380,"1040 Fair St, NW",Atlanta,GA,30314,"1040 Fair St, NW, City, GA  30314",-84.421616,33.7487739,premise,rooftop,Ashview Heights,Atlanta,Fulton County
Southwest Ecumenical Emergency Assistanc,P582,1040 Ralph David Abernathy Blvd SW,Atlanta,GA,30310,"1040 Ralph David Abernathy Blvd SW, City, GA  30310",-84.421616,33.7374592,street_address,rooftop,West End,Atlanta,Fulton County
First Riverdale SDA Church,P231,8258 Thomas Rd.,Jonesboro,GA,30238,"8258 Thomas Rd., City, GA  30238",-84.4198829,33.5244451,street_address,rooftop,NA,Jonesboro,Clayton County
Mission Agape Corp.,P395,953 Martin Luther King Jr Dr NW,Atlanta,GA,30314,"953 Martin Luther King Jr Dr NW, City, GA  30314",-84.4188144,33.7549344,street_address,range_interpolated,Washington Park,Atlanta,Fulton County
ACFB Direct Distribution Through Nutrition,P009,732 Joseph E Lowery Blvd NW,Atlanta,GA,30318,"732 Joseph E Lowery Blvd NW, City, GA  30318",-84.4186617,33.7743982,premise,rooftop,Bankhead,Atlanta,Fulton County
Seasonal Shopper,P553,732 Joseph E Lowery Blvd NW,A,GA,33018,"732 Joseph E Lowery Blvd NW, City, GA  33018",-84.4186617,33.7743982,premise,rooftop,Bankhead,Atlanta,Fulton County
Atrium at Collegetown,P047,435 Joseph E. lowery Blvd. SE,Atlanta,GA,30310,"435 Joseph E. lowery Blvd. SE, City, GA  30310",-84.418152,33.7427453,street_address,rooftop,College Town at West End,Atlanta,Fulton County
Church Street Elementary,P108,7013 Church St,Riverdale,GA,30274,"7013 Church St, City, GA  30274",-84.418077,33.563362,street_address,rooftop,NA,Riverdale,Clayton County
Warren Memorial United Methodist Church,P672,181 Joseph E. Lowery Blvd SW,Atlanta,GA,30314,"181 Joseph E. Lowery Blvd SW, City, GA  30314",-84.4179641,33.749697,premise,rooftop,Ashview Heights,Atlanta,Fulton County
Rice Memorial Presbyterian Church,P518,"1515 Brewer Blvd., SW",Atlanta,GA,30310,"1515 Brewer Blvd., SW, City, GA  30310",-84.4178,33.7133039,premise,rooftop,Sylvan Hills,Atlanta,Fulton County
Community Food Center,P129,27 Joseph E Lowery Blvd NW,Atlanta,GA,30314,"27 Joseph E Lowery Blvd NW, City, GA  30314",-84.4174309,33.755438,street_address,rooftop,Vine City,Atlanta,Fulton County
ACFB Distribution with Empty Stocking Fund,P010,915 Jefferson St NW,Atlanta,GA,30318,"915 Jefferson St NW, City, GA  30318",-84.4172722,33.7761916,street_address,range_interpolated,English Avenue,Atlanta,Fulton County
Mt. Moriah Baptist Church,P407,200 Joseph E. Lowery Blvd SW,Atlanta,GA,30314,"200 Joseph E. Lowery Blvd SW, City, GA  30314",-84.4171229,33.7493761,premise,rooftop,Atlanta University Center,Atlanta,Fulton County
Lindsay Street Baptist Church,P365,550 Lindsay Street NW,Atlanta,GA,30314,"550 Lindsay Street NW, City, GA  30314",-84.416757,33.769772,street_address,rooftop,English Avenue,Atlanta,Fulton County
Jesus Set The Captives Free,P331,871 Dill Ave,Atlanta,GA,30310,"871 Dill Ave, City, GA  30310",-84.416569,33.7185591,premise,rooftop,Capitol View,Atlanta,Fulton County
Quest Community Development,P502,878 Rock Street NW,Atlanta,GA,30314,"878 Rock Street NW, City, GA  30314",-84.4162612,33.7619558,premise,rooftop,Vine City,Atlanta,Fulton County
Create Your Dreams,P156,887 West Marietta St NW,Atlanta,GA,30318,"887 West Marietta St NW, City, GA  30318",-84.4161997,33.7822913,premise,rooftop,English Avenue,Atlanta,Fulton County
Trinity Towers,P652,2611 Springdale Rd. SW.,Atlanta,GA,30315,"2611 Springdale Rd. SW., City, GA  30315",-84.4157073,33.6832112,premise,rooftop,Perkerson Park,Atlanta,Fulton County
"The Pathway Home Foundation, Inc",P630,6390 Church Street,Riverdale,GA,30274,"6390 Church Street, City, GA  30274",-84.41542,33.5810281,premise,rooftop,NA,Riverdale,Clayton County
"North West Youth Power, Inc.",P459,815 Magnolia,Atlanta,GA,30314,"815 Magnolia, City, GA  30314",-84.4144027,33.7583048,street_address,rooftop,Vine City,Atlanta,Fulton County
"CARES, Inc.",P077,89 Cares Drive,Jasper,GA,30143,"89 Cares Drive, City, GA  30143",-84.4138607,34.4573687,premise,rooftop,NA,Jasper,Pickens County
People United for Change,P487,801 Joseph E. Boone Blvd NW,Atlanta,GA,30314,"801 Joseph E. Boone Blvd NW, City, GA  30314",-84.413635,33.763621,premise,rooftop,English Avenue,Atlanta,Fulton County
Simpson St. Church of Christ,P568,800 Joseph E. Boone Blvd,Atlanta,GA,30314,"800 Joseph E. Boone Blvd, City, GA  30314",-84.4134093,33.7630234,premise,rooftop,Vine City,Atlanta,Fulton County
Greater Bethany Baptist Church,P279,786 Thurmond Street,Atlanta,GA,30314,"786 Thurmond Street, City, GA  30314",-84.4132041,33.760273,premise,rooftop,Vine City,Atlanta,Fulton County
"Hearts to Nourish Hope, Inc.",P296,640 Highway 138 SW,Riverdale,GA,30274,"640 Highway 138 SW, City, GA  30274",-84.411606,33.547012,point,manual,NA,Riverdale,Clayton County
"Chris Kids, Inc.- At Promise",P099,740 Cameron Madison Alexander Blvd NW,Atlanta,GA,30318,"740 Cameron Madison Alexander Blvd NW, City, GA  30318",-84.4116036,33.7678146,premise,rooftop,English Avenue,Atlanta,Fulton County
Hollis Innovation Academy,P309,"225 Griffin St, NW",Atlanta,GA,30314,"225 Griffin St, NW, City, GA  30314",-84.4111762,33.7607455,street_address,rooftop,Vine City,Atlanta,Fulton County
Atlanta Union Mission-My Sister's House,P046,921 Howell Mill Rd.,Atlanta,GA,30318,"921 Howell Mill Rd., City, GA  30318",-84.4101673,33.7802351,premise,rooftop,Home Park,Atlanta,Fulton County
Hutchinson Elementary,P317,"650 Cleveland Ave, SW",Atlanta,GA,30315,"650 Cleveland Ave, SW, City, GA  30315",-84.409839,33.6807254,street_address,rooftop,Hammond Park,Atlanta,Fulton County
New Beginnings Praise and Worship Center,P420,1091 South Jeff Davis Drive,Fayetteville,GA,30215,"1091 South Jeff Davis Drive, City, GA  30215",-84.409163,33.425037,street_address,rooftop,NA,Fayetteville,Fayette County
Christian Outreach Evangelistic Church,P104,6120 Highway 85,Riverdale,GA,30274,"6120 Highway 85, City, GA  30274",-84.4089286,33.5878558,street_address,rooftop,NA,Riverdale,Clayton County
Family Life Ministries,P212,612 College St,Hapeville,GA,30354,"612 College St, City, GA  30354",-84.408708,33.656681,street_address,rooftop,NA,Hapeville,Fulton County
